from,to,relation
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,72,1
2,15,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,73,1
3,15,1
3,27,1
3,28,1
3,29,1
3,30,1
3,72,1
4,15,1
4,31,1
4,32,1
4,33,1
4,71,1
5,15,1
5,34,1
5,35,1
5,36,1
5,37,1
5,38,1
5,39,1
5,74,1
6,15,1
6,40,1
6,41,1
6,42,1
6,43,1
6,75,1
7,15,1
7,44,1
7,45,1
7,46,1
7,47,1
7,76,1
8,15,1
8,48,1
8,49,1
8,50,1
8,51,1
8,52,1
8,53,1
8,54,1
8,77,1
9,15,1
9,55,1
9,56,1
9,72,1
10,15,1
10,33,1
10,57,1
10,71,1
11,15,1
11,58,1
11,59,1
11,60,1
11,76,1
12,15,1
12,61,1
12,62,1
12,63,1
12,71,1
13,15,1
13,64,1
13,65,1
13,66,1
13,67,1
13,68,1
13,69,1
13,78,1
14,15,1
14,33,1
14,70,1
14,71,1
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
4,5,2
4,6,2
4,7,2
4,8,2
4,9,2
4,10,2
4,11,2
4,12,2
4,13,2
4,14,2
5,6,2
5,7,2
5,8,2
5,9,2
5,10,2
5,11,2
5,12,2
5,13,2
5,14,2
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
7,8,2
7,9,2
7,10,2
7,11,2
7,12,2
7,13,2
7,14,2
8,9,2
8,10,2
8,11,2
8,12,2
8,13,2
8,14,2
9,10,2
9,11,2
9,12,2
9,13,2
9,14,2
10,11,2
10,12,2
10,13,2
10,14,2
11,12,2
11,13,2
11,14,2
12,13,2
12,14,2
13,14,2
14,1,2
14,2,2
14,3,2
14,4,2
14,5,2
14,6,2
14,7,2
14,8,2
14,9,2
14,10,2
14,11,2
