id,name,type,birth,age,position,country
1,Juliet Lohuis,0,1996,3,M,NL
2,Mira Todorova,0,1994,4,M,BG
3,Eline Timmermann,0,1998,2,M,NL
4,Hannah Kohn,0,2003,1,Z,DE
5,Ilka Van de Vyver,0,1993,4,Z,BE
6,Julia Nowicka,0,1998,2,Z,PL
7,Simone Lee,0,1996,3,A,US
8,Maria Segura Pallerés,0,1992,4,A,ES
9,Hester Jasper,0,2001,1,A,NL
10,Helena Dornheim,0,2004,1,A,DE
11,Krystal Rivers,0,1994,4,D,US
12,Lara Berger,0,2001,1,D,DE
13,Roosa Koskelo,0,1991,4,L,FI
14,Lena Grundt,0,2004,1,L,DE
15,MTV,1,,,,
16,Set-up '65,1,,,,
17,Talent Team Papendal,1,,,,
18,Eurosped Almelo,1,,,,
19,Coolen Alterno,1,,,,
20,USC Münster,1,,,,
21,RC Cannes,1,,,,
22,Volero Le Cannet,1,,,,
23,Volero Zürich,1,,,,
24,Le Cannet Volley Ball,1,,,,
25,Sm'Aesch Pfeffingen,1,,,,
26,VC Maritza,1,,,,
27,Talentteam Papendal,1,,,,
28,Alterno Apeldoorn,1,,,,
29,Eurosped Twente,1,,,,
30,Ladies in Black Aachen,1,,,,
31,VfB Ulm,1,,,,
32,Olympiastützpunkt Stuttgart,1,,,,
33,Bundesstützpunkt Stuttgart,1,,,,
34,Asterix Kieldrecht,1,,,,
35,RC Cannes,1,,,,
36,Il Bisonte Firenze,1,,,,
37,Calcit Ljubljana,1,,,,
38,Rote Raben Vilsbiburg,1,,,,
39,CSM Târgoviște,1,,,,
40,Grot Budowlani Łódź,1,,,,
41,BKS Profi Credit Bielsko-Biała,1,,,,
42,KS Pałac Bydgoszcz U20,1,,,,
43,SMS PZPS Szczyrk,1,,,,
44,Kurobe AquaFairies,1,,,,
45,Beylikdüzü,1,,,,
46,Imoco Volley Conegliano,1,,,,
47,Penn State Univ.,1,,,,
48,Banca Valsabbina Millenium Brescia,1,,,,
49,Dresdner SC 1898,1,,,,
50,Bosca San Bernardo Cuneo,1,,,,
51,Saugella Team Monza,1,,,,
52,Delta Informatica Trentino,1,,,,
53,Geovillage Hermaea Olbia,1,,,,
54,CV Barcelona,1,,,,
55,VfB Suhl Lotto Thüringen,1,,,,
56,VC Sneek,1,,,,
57,Allianz MTV Stuttgart II,1,,,,
58,University of Alabama,1,,,,
59,Beziers Angels,1,,,,
60,Luka Bar (MNE),1,,,,
61,FV Tübinger Modell,1,,,,
62,BSP MTV Stuttgart,1,,,,
63,VCO Berlin,1,,,,
64,OK Nova KBM Branik,1,,,,
65,LP Viesti,1,,,,
66,LP Kangasala,1,,,,
67,Hämeenlinnan Lentopallokerho,1,,,,
68,Kimmo,1,,,,
69,Someron Pallo,1,,,,
70,Eigene Jugend MTV Stuttgart,1,,,,
71,Deutschland,1,,,,
72,Niederlande,1,,,,
73,Bulgarien,1,,,,
74,Belgien,1,,,,
75,Polen,1,,,,
76,USA,1,,,,
77,Spanien,1,,,,
78,Finnland,1,,,,
